employeeId,name,homeAddress,salary,dateOfBirth,insuranceNumber,managerId,departmentId
45-1746352,Samuel Belkadi,"87 Harkbridge Drive, Manchester",198937,1961/09/06,rb499211c,1,2
52-8172635,Alexandre Abbe,"76 ave Leopold, Nice",63490,1950/01/01,ht175666x,3,4
77-8173682,Manon Steward,"19 Stopel way, London",130372,1963/08/24,vb943949c,1,3
36-2747513,Mathieu Pecho,"61 Bercaillit, Manchester",53445,1952/07/26,zt656754o,2,3
67-6610675,Mihai Bors,"88 Golf of North, Manchester",31253,1962/08/09,to907441w,3,4
23-7508479,Teo Gaudrillaut,"House of the hill, Leeds",90226,1994/12/12,du615694i,2,4
75-7155290,Jean Michelet,"2 Vernon Court, Cheltenham",124628,1993/01/16,rz111360g,1,4
46-4176423,Jennifer Magasin,"28 Harkbridge Drive, Manchester",116295,1963/07/07,dr180938w,2,3
24-8179526,Catherine Relan,"White Owl Barn, Reading Street, London",124650,1946/07/20,gx924268x,1,4
23-5837604,Geoffrey Galcon,"3 Dodsworth Villas, Greenside",68003,1947/01/03,wh660279o,1,3
43-2161789,Samantha Martin,"210 West Malvern Road, London",183378,1982/02/23,zw251674d,1,4
47-7088149,Rambolito Amini,"9 Warrengate Road, North Mymms",119139,1976/08/26,qy726870d,3,2
89-9940504,Pauline Rigo,"3 College Road, Oswestry",58584,1972/01/01,xz796669h,2,4
29-4323273,Lea Klepa,"1 William Tow Close, Sutton On Sea",96895,1993/04/05,bl221585z,1,4
86-8290964,Kenny Toadb,"10 Dun Street, Swinton",67431,1958/08/02,cz046288u,2,3
84-1344334,Ilan Chelli,"210 West Malvern Road, Malvern",143883,1999/12/07,pk696816m,1,4
43-9608140,Emilly Teou,"Laneside, Staveley",124154,1966/12/15,jr596419t,1,4
